1000 100000	
18	409	9
153	788	46
738	532	50
498	828	10
258	798	10
231	758	6
733	606	15
216	209	14
10	3	24
728	494	42
168	85	22
72	886	28
752	577	46
483	751	10
86	538	12
83	22	15
228	887	41
864	274	7
457	358	46
238	388	19
599	52	15
639	454	16
60	871	31
428	485	13
265	119	21
128	442	7
953	401	19
251	100	39
119	272	42
790	854	35
621	728	3
227	914	31
605	970	49
827	537	1
785	12	27
411	528	24
490	340	19
225	81	2
51	994	28
673	950	43
160	536	47
305	667	9
19	713	20
598	174	11
16	898	34
46	453	42
854	369	43
57	629	16
988	876	34
910	612	27
243	256	8
50	494	26
87	506	16
552	96	21
284	789	3
258	529	13
878	8	10
740	217	25
310	176	4
353	256	50
158	455	36
931	424	12
666	963	13
832	408	34
910	625	37
399	240	38
21	816	5
531	661	13
321	657	26
581	2	48
550	586	48
465	254	5
935	933	1
458	127	49
901	920	49
490	816	15
906	599	4
690	156	39
967	504	11
477	395	17
944	973	34
148	821	49
923	615	2
233	922	16
768	715	47
846	876	12
158	658	25
945	96	3
138	537	37
781	214	37
852	349	44
514	584	20
736	797	36
1000	183	41
281	35	12
931	384	41
270	905	8
499	998	18
890	100	29
419	475	48
409	690	46
670	484	30
647	342	26
138	867	6
451	541	5
71	658	9
905	327	10
362	70	23
819	518	33
374	714	46
888	359	22
346	299	19
66	482	38
960	361	7
533	160	31
140	853	37
493	355	49
151	925	26
913	19	44
455	776	30
477	726	9
738	135	7
178	295	34
779	386	13
913	25	33
22	656	32
779	567	28
961	719	4
602	233	17
741	522	15
297	955	10
483	77	12
802	112	7
418	282	38
316	761	33
282	256	19
307	144	27
727	559	48
682	379	18
129	566	30
696	754	41
207	776	44
379	552	3
243	933	23
167	502	33
713	69	21
315	889	43
340	304	8
351	481	23
55	843	37
892	718	25
578	591	31
907	954	28
10	236	33
441	439	18
639	882	38
87	478	38
939	182	18
577	34	20
9	869	13
424	82	18
533	104	25
249	467	16
284	419	38
753	344	23
11	44	30
942	411	34
289	518	1
983	111	21
580	704	39
7	142	48
100	678	25
959	246	44
37	152	46
8	667	7
960	226	39
837	875	17
238	45	13
103	784	43
835	454	23
705	65	27
7	797	18
613	118	31
871	827	2
601	376	18
979	325	33
651	66	43
460	642	10
684	574	37
987	49	21
66	725	31
296	378	26
737	504	10
522	178	31
373	238	7
451	428	25
208	654	49
308	275	31
525	934	6
654	233	4
209	882	21
828	588	20
379	782	33
722	858	24
268	104	33
440	891	47
174	73	1
745	476	38
680	424	2
188	758	37
301	750	31
720	35	5
756	914	29
746	456	19
412	367	38
91	550	13
227	407	36
676	86	4
195	703	24
536	176	14
573	229	14
626	269	34
528	849	38
710	283	26
831	833	9
468	582	9
2	133	46
447	492	32
790	472	16
222	971	21
670	191	15
223	943	22
720	849	8
623	746	18
477	234	32
145	957	22
521	127	30
640	886	8
471	669	1
585	568	6
685	66	23
837	860	12
103	4	5
550	993	8
402	159	35
622	861	35
568	553	47
17	468	5
611	592	39
871	344	41
769	320	42
871	703	43
773	52	11
12	382	22
670	620	47
816	532	5
468	922	6
551	32	1
615	364	39
366	487	39
605	392	24
595	742	22
229	109	18
147	144	41
996	782	4
875	867	47
493	837	11
974	976	46
483	583	45
898	685	32
649	384	8
511	34	3
393	721	28
259	112	42
402	947	21
160	778	43
245	600	12
694	601	12
988	395	2
626	872	18
682	79	4
13	553	7
451	861	26
452	692	1
143	342	43
481	80	7
846	558	31
773	375	9
614	747	6
607	316	30
163	511	4
442	459	32
262	628	34
802	819	23
206	625	8
661	175	50
992	415	49
39	298	47
364	929	33
174	425	1
566	642	48
519	506	18
498	770	48
755	968	39
45	356	23
763	98	45
120	624	17
486	21	2
532	512	27
808	582	42
704	805	8
525	117	27
302	174	24
393	774	29
229	836	13
435	874	19
87	597	13
684	44	26
413	33	27
934	871	37
355	148	10
411	937	38
860	652	41
872	72	37
402	68	48
272	294	19
466	189	11
99	499	50
701	633	33
673	978	11
644	465	27
544	881	17
169	786	22
234	63	20
761	651	28
437	59	7
708	602	18
887	325	47
987	792	24
139	635	48
517	998	44
818	47	38
661	610	42
108	539	38
157	967	47
847	146	13
833	478	23
768	411	6
230	990	27
388	43	18
83	415	4
504	14	32
224	265	38
995	38	12
205	185	23
645	777	31
123	92	13
388	739	45
394	912	45
297	440	40
461	274	40
220	240	49
874	782	38
767	133	48
752	460	14
477	806	45
372	740	27
900	323	26
677	793	12
330	784	20
53	708	46
117	665	23
752	131	50
353	881	32
330	981	41
762	705	23
986	776	10
694	900	33
110	904	32
29	807	18
539	140	22
616	626	49
295	104	36
611	312	16
995	643	18
21	556	16
910	523	3
397	282	6
2	736	48
180	724	45
17	495	29
498	444	19
37	197	6
875	19	40
367	11	40
384	508	16
863	148	16
914	583	40
416	473	50
404	20	32
712	130	1
981	381	36
463	260	1
159	861	45
673	747	10
16	419	36
244	932	46
898	921	22
651	47	31
354	420	12
330	983	40
356	593	34
187	142	49
228	873	41
402	210	48
356	994	41
502	603	40
702	229	47
67	527	30
521	935	1
540	83	28
820	2	28
660	514	12
157	533	6
532	917	4
918	112	43
992	52	49
787	628	28
647	140	11
122	566	24
115	809	23
384	590	6
708	272	27
89	527	47
987	757	9
383	9	41
304	128	7
99	891	7
236	801	18
98	415	43
792	890	21
111	212	24
706	840	30
83	637	40
285	349	24
173	529	33
418	599	9
949	702	50
437	902	3
606	501	29
344	612	16
377	664	11
499	397	48
806	263	18
7	492	40
433	440	49
314	71	33
265	638	22
779	402	5
798	447	49
220	636	13
84	81	30
987	302	44
656	752	43
45	133	39
169	670	41
591	360	28
201	331	13
698	22	28
793	839	41
572	672	35
558	663	10
921	875	10
346	659	30
585	458	45
304	403	39
912	645	21
816	542	3
885	272	45
717	937	22
608	777	45
760	617	10
446	322	32
513	446	38
406	867	37
19	225	31
202	432	40
59	263	34
124	838	38
776	389	44
539	168	12
784	324	15
400	442	29
854	725	18
866	746	38
508	65	3
330	404	50
325	636	2
578	83	47
767	575	18
191	147	38
692	434	13
458	292	11
772	995	1
349	311	45
534	134	28
299	335	45
995	713	12
644	19	41
708	596	26
533	31	40
222	662	1
478	931	35
994	514	22
259	369	26
746	516	50
612	668	34
459	583	44
136	184	24
672	43	16
78	966	24
895	961	29
597	248	4
506	847	43
257	675	28
917	47	24
463	225	16
919	640	13
424	218	38
530	391	34
177	199	28
210	852	23
123	362	23
483	981	28
856	201	39
129	369	5
59	755	48
75	70	32
708	920	3
614	628	22
509	46	5
318	807	39
788	360	10
89	956	5
675	611	8
601	683	4
964	726	2
285	254	31
455	34	24
779	514	8
341	424	2
544	27	40
55	493	41
439	379	1
577	218	27
303	800	38
342	136	14
515	54	30
536	746	48
886	59	41
272	963	32
141	15	40
402	457	43
309	98	13
522	742	25
607	201	49
510	699	7
875	442	48
11	866	26
199	585	1
756	635	34
36	113	9
99	705	1
103	665	39
860	508	9
898	420	20
824	136	45
425	932	29
759	482	21
475	503	46
43	791	31
153	996	16
117	787	47
364	664	29
348	746	42
138	449	5
82	32	5
143	130	16
152	362	25
287	338	19
239	905	10
403	307	17
901	547	50
489	461	19
598	837	24
792	868	2
415	87	46
661	650	6
461	384	35
469	591	48
536	965	47
12	75	16
246	874	21
453	607	38
903	86	32
633	69	10
281	184	31
710	963	35
268	89	28
482	422	18
384	959	17
233	567	23
741	494	44
674	618	32
997	726	33
714	230	22
777	729	45
102	95	14
109	782	9
761	79	13
613	345	23
969	571	1
992	620	26
829	608	14
617	36	2
384	345	12
511	333	15
211	424	38
800	514	37
611	244	6
666	583	22
163	517	11
957	398	14
308	602	24
56	738	25
604	361	40
979	456	46
147	689	4
1	326	11
241	262	15
747	856	45
262	138	26
815	287	29
732	729	22
742	725	38
699	89	38
166	819	27
213	791	43
670	613	2
370	540	40
129	482	12
291	394	21
226	146	28
134	236	15
355	204	31
379	150	23
42	497	29
720	635	24
417	471	40
149	936	22
309	656	38
371	630	35
742	193	19
242	564	41
828	415	18
746	772	17
160	843	47
656	292	49
365	943	7
620	414	17
507	235	12
808	368	17
431	350	33
853	808	46
988	299	28
964	752	20
179	118	7
658	648	12
983	773	36
107	789	39
489	14	22
358	212	44
116	933	16
959	184	37
920	193	1
951	520	6
805	130	29
791	862	21
881	237	22
888	214	20
700	321	36
776	364	25
475	725	15
38	403	7
842	708	21
610	104	14
182	892	23
873	302	34
699	438	1
222	468	47
549	811	17
12	189	22
261	587	33
367	989	15
667	820	15
825	861	11
511	995	43
173	11	2
901	643	49
607	329	43
763	720	33
937	747	18
557	747	19
726	776	1
23	588	30
558	508	16
478	138	49
177	817	17
379	748	31
63	959	26
49	430	22
70	502	15
730	971	24
87	790	19
490	288	38
230	555	31
938	527	9
471	392	8
530	522	34
547	798	6
575	57	18
782	933	44
659	53	20
654	976	25
390	662	33
34	927	39
866	314	21
750	796	2
449	230	47
540	445	18
939	965	4
320	392	32
440	447	17
260	691	7
532	840	7
457	602	9
481	151	18
157	441	21
926	778	47
284	21	45
290	540	31
278	620	46
22	142	25
142	187	9
181	719	29
11	295	37
149	301	35
837	655	18
145	601	36
181	591	28
803	886	21
844	841	41
842	668	30
361	33	45
111	919	22
243	824	27
32	171	27
237	823	15
30	527	14
715	476	14
485	959	23
721	716	7
164	924	14
413	677	42
512	570	20
919	806	27
761	106	48
138	146	34
493	654	10
889	786	18
343	437	43
370	110	26
875	405	42
669	427	35
945	733	31
66	175	35
851	883	28
422	685	2
99	701	4
411	620	17
879	475	29
601	301	32
414	956	9
436	879	43
491	730	34
403	561	31
703	65	13
194	525	9
288	675	12
419	662	10
881	524	49
932	77	43
360	786	1
473	996	39
124	856	42
630	170	50
432	492	24
801	274	34
12	597	40
224	122	48
903	793	5
723	699	28
851	464	11
492	107	12
269	703	21
190	647	26
104	583	38
880	200	14
220	977	44
557	134	30
424	901	26
29	809	12
782	273	19
608	829	35
94	68	26
197	258	32
263	900	14
589	88	8
163	496	40
305	21	47
986	806	34
360	431	48
613	100	50
623	277	50
940	803	14
446	205	1
298	674	8
420	581	50
401	561	47
763	153	26
123	811	17
368	855	15
333	20	10
2	901	14
255	23	28
49	664	42
80	320	24
584	715	12
957	309	33
909	239	22
138	66	20
909	508	19
905	86	5
930	705	39
642	498	50
204	810	7
137	20	44
232	206	18
154	99	3
395	651	6
413	605	27
207	776	2
960	21	15
394	638	8
24	272	41
596	875	13
471	744	39
330	25	46
838	856	42
73	52	21
723	674	44
101	50	23
256	681	47
233	967	7
957	91	44
479	64	36
210	142	9
57	915	7
950	130	34
767	274	26
551	540	45
102	415	18
991	173	25
971	107	47
460	336	16
778	276	27
113	251	10
461	393	47
475	677	44
982	555	16
986	310	48
990	866	40
237	559	7
54	223	29
193	723	9
788	151	39
546	645	38
669	720	41
416	112	2
249	827	2
205	578	23
456	877	17
349	714	23
696	704	7
633	415	46
91	553	6
562	173	28
106	887	31
566	594	26
233	267	37
371	296	26
885	873	35
47	472	38
708	436	34
128	122	23
267	247	6
38	864	41
397	426	48
324	965	11
315	838	16
729	290	5
133	555	39
475	56	37
563	488	38
297	771	49
801	713	20
389	152	31
89	601	37
999	133	49
459	544	6
495	926	1
414	33	26
332	510	35
850	271	16
861	84	7
544	352	40
757	90	3
21	27	49
840	820	44
994	486	15
856	711	40
515	26	17
406	868	33
843	228	22
501	129	39
161	156	26
466	854	47
63	994	28
308	699	26
687	507	48
867	852	44
299	424	24
430	364	16
241	279	4
347	761	27
770	541	37
816	606	45
395	327	34
986	514	47
60	456	25
124	296	47
552	314	14
628	783	8
733	549	33
514	295	13
127	100	16
377	170	29
630	272	1
197	388	11
169	278	50
868	902	32
890	878	28
285	94	24
745	281	35
974	326	15
713	647	49
132	532	22
294	426	22
939	93	30
481	813	35
951	607	31
600	936	40
899	498	19
509	168	17
271	481	5
488	324	32
250	583	13
891	960	21
797	425	23
868	509	38
364	809	11
449	292	46
309	690	41
731	304	46
634	177	23
621	789	14
967	842	50
114	246	3
81	744	16
458	185	38
37	234	41
671	372	3
994	556	22
100	820	50
564	633	5
850	763	48
72	734	47
673	915	26
817	94	22
289	368	20
445	666	14
185	200	29
276	319	2
655	209	19
36	977	44
949	96	36
690	911	37
682	835	46
493	791	18
364	76	11
722	509	22
706	196	48
297	291	7
808	757	50
873	755	2
343	959	48
671	685	27
473	649	13
538	678	24
87	990	36
866	26	24
203	207	5
771	458	4
29	331	19
308	43	40
781	591	30
284	590	37
272	654	22
910	423	8
683	453	11
54	817	3
486	261	19
968	792	39
594	441	5
939	592	40
491	276	5
161	336	22
416	562	34
754	789	4
46	772	33
6	111	4
335	965	28
801	521	16
439	930	33
183	772	48
669	397	30
843	542	47
314	391	49
418	406	26
152	398	41
59	975	25
817	862	25
244	920	34
433	721	16
504	499	47
908	259	4
926	475	21
591	857	32
310	191	9
727	239	15
37	2	33
85	8	18
363	940	33
337	904	44
765	623	24
480	12	11
979	76	7
110	526	16
781	442	36
935	24	15
550	512	36
345	418	10
604	621	23
777	925	40
311	676	13
79	91	12
410	331	37
910	790	17
912	146	40
193	140	9
60	855	19
244	712	20
816	848	10
197	553	34
121	962	34
559	278	50
202	288	25
877	725	24
926	741	43
792	221	15
952	774	20
285	959	47
177	567	41
656	610	50
807	741	37
511	633	17
292	768	37
955	781	42
201	735	39
145	582	36
710	528	42
240	522	40
513	93	3
372	704	27
319	839	27
404	873	10
435	962	23
807	95	22
182	673	26
108	602	39
588	829	5
268	345	15
779	370	7
44	588	8
733	391	26
302	459	2
970	625	19
380	428	25
622	134	6
120	651	4
993	957	49
783	953	36
926	909	47
187	18	41
548	503	18
566	311	10
213	637	3
514	325	19
779	269	50
408	608	24
217	923	31
244	247	1
415	214	38
780	814	8
203	259	14
540	694	25
417	643	25
547	475	12
305	310	20
700	511	47
163	476	17
712	83	11
278	359	24
950	359	21
71	684	39
871	811	4
335	715	13
523	643	9
413	883	46
680	816	17
899	189	47
666	125	16
510	943	32
829	397	38
787	810	23
836	716	27
236	592	27
580	603	14
824	60	13
873	851	12
687	144	15
532	823	25
519	503	33
784	294	34
123	209	41
309	829	4
943	164	24
586	295	13
953	915	50
246	582	26
517	820	3
532	888	31
106	495	6
509	605	31
71	676	26
749	823	18
230	795	9
79	895	43
87	36	2
785	853	30
823	259	14
89	333	16
891	404	38
10	65	12
331	369	24
941	386	26
288	868	21
359	97	31
745	354	31
140	182	24
296	557	11
693	173	34
968	443	33
157	483	23
890	433	19
62	674	16
100	311	25
348	830	38
504	632	17
139	236	25
458	380	13
636	797	39
86	407	7
824	45	35
729	471	2
129	127	8
274	951	41
789	500	8
880	782	37
241	877	24
302	483	46
727	654	26
321	836	26
630	606	3
171	791	24
152	738	7
784	457	32
97	904	10
884	964	4
187	626	38
439	133	27
946	893	42
571	876	6
307	859	5
168	206	50
430	391	1
843	691	44
830	834	27
227	934	25
735	247	42
131	912	7
592	934	35
174	4	10
958	710	12
692	400	50
935	196	12
502	784	37
166	523	11
680	103	4
143	708	5
456	699	30
509	970	50
456	724	25
290	639	23
420	191	30
673	141	50
775	975	28
206	170	28
956	203	18
37	481	4
188	17	30
10	962	4
741	469	49
547	581	3
674	768	37
750	878	46
546	821	45
836	136	9
93	256	39
444	310	5
280	305	4
59	188	41
94	556	9
43	776	5
741	702	9
3	903	19
844	648	32
857	454	43
779	104	16
316	761	10
994	930	41
685	931	19
330	218	45
307	528	6
614	261	26
446	437	25
547	923	14
368	543	34
132	655	13
713	56	32
739	939	41
220	736	10
649	40	10
820	810	43
489	323	1
84	658	47
750	283	27
260	226	2
568	925	43
730	690	43
918	305	31
503	472	36
698	397	32
170	437	12
412	370	12
933	120	47
817	36	14
572	783	13
862	855	33
900	313	26
84	965	23
822	35	32
123	759	49
579	494	4
277	955	39
316	832	16
108	38	15
688	629	17
603	908	33
627	157	6
869	710	1
16	93	26
802	342	48
660	918	30
801	174	35
49	716	10
459	185	7
936	753	13
839	514	20
599	627	5
599	520	9
413	485	33
356	511	23
370	478	10
586	892	38
326	391	26
751	527	44
155	859	49
550	978	39
657	567	26
609	802	17
35	999	30
563	991	44
894	601	10
625	911	43
424	888	47
870	728	27
209	145	33
490	286	41
112	155	29
418	815	38
579	622	2
76	755	40
913	803	50
226	864	41
557	284	37
978	599	38
764	501	7
396	829	31
585	382	20
653	901	45
90	455	9
112	600	3
138	727	14
468	314	33
222	709	6
899	384	34
568	149	30
273	391	42
789	550	17
2	573	38
93	782	25
547	433	43
196	721	5
276	520	1
549	982	6
912	142	1
935	450	2
974	113	29
262	506	32
70	827	20
795	187	23
589	662	38
672	421	8
329	278	10
914	569	42
997	281	35
564	553	2
263	59	48
405	126	50
261	669	24
735	890	49
676	350	48
965	234	12
93	532	49
589	166	11
393	500	7
666	236	44
597	791	13
668	528	28
601	943	19
511	479	38
573	309	29
268	352	41
654	411	5
367	266	36
715	17	21
779	786	21
425	678	19
3	112	7
994	936	27
847	13	11
23	698	46
526	538	23
634	280	27
137	918	22
791	538	27
559	836	13
148	943	22
551	173	48
708	560	5
882	509	43
724	17	10
498	1	34
213	190	6
626	728	43
337	951	3
543	778	32
531	456	1
309	679	23
229	644	8
843	905	43
422	773	45
710	623	22
523	275	38
831	421	45
161	980	29
354	305	19
336	353	48
649	779	46
690	108	9
476	834	21
670	711	35
938	245	50
711	435	38
538	951	14
531	361	34
678	199	45
497	264	38
749	17	20
204	729	4
560	641	38
574	580	45
982	629	36
892	724	28
530	725	17
309	328	10
775	815	39
470	102	10
247	458	48
504	972	48
878	443	14
388	220	36
25	862	10
309	54	18
40	941	31
178	940	7
855	244	1
48	218	50
295	962	49
986	526	11
320	141	12
613	636	46
38	530	9
320	680	5
295	686	5
446	522	19
307	86	16
582	121	26
189	735	22
882	117	28
337	930	47
96	971	14
997	357	39
191	247	47
124	7	49
673	925	39
783	128	9
795	823	37
791	111	50
597	251	1
125	765	16
489	766	47
419	837	2
56	176	27
455	950	17
173	435	46
928	449	8
101	516	30
197	658	38
862	176	32
236	537	14
833	784	26
13	879	14
61	818	18
539	907	24
832	87	38
176	680	28
992	610	33
142	803	32
62	431	6
11	727	4
398	815	37
25	612	1
942	320	3
31	636	2
218	43	34
193	683	49
8	200	11
631	922	5
210	111	28
915	269	42
501	430	27
60	873	2
957	150	23
49	629	33
92	294	15
542	525	42
870	693	37
444	371	31
50	487	10
310	950	17
526	153	6
367	970	42
693	904	37
30	713	12
87	353	27
375	792	26
475	339	9
320	878	5
208	308	14
87	292	7
490	550	45
175	997	33
615	830	45
445	592	42
172	217	33
776	162	50
841	967	7
296	666	10
334	396	36
695	428	23
937	274	5
222	568	35
596	841	40
33	93	12
358	247	20
752	660	44
727	275	27
164	281	19
863	99	17
243	870	25
747	148	14
710	17	6
495	254	30
565	931	43
655	39	14
113	854	39
492	129	14
887	820	23
187	835	43
622	586	8
991	431	29
774	85	43
530	888	26
307	825	21
370	24	13
971	176	31
296	601	44
572	74	30
315	320	26
806	39	49
770	528	15
58	711	47
639	450	41
954	665	19
25	240	41
105	199	41
714	724	34
295	158	8
964	406	5
836	859	9
129	502	26
588	497	42
461	897	36
510	960	22
239	248	38
250	552	47
371	602	28
556	762	9
599	791	35
888	699	50
510	889	5
809	524	32
976	342	28
512	348	13
125	106	30
703	185	47
91	646	13
394	516	8
949	706	38
715	894	3
827	650	31
499	42	2
321	694	27
829	544	36
710	309	17
482	501	43
692	128	47
837	143	6
19	663	13
997	534	25
481	283	4
660	156	1
611	169	42
826	746	15
865	274	12
790	563	37
800	489	27
330	199	16
469	73	11
775	94	24
229	13	47
841	117	17
224	297	13
657	634	36
674	772	6
609	560	4
57	596	44
130	846	33
902	366	44
195	403	8
401	159	10
666	381	20
21	573	38
982	793	28
584	423	6
758	717	7
294	529	28
549	291	32
692	706	50
512	514	46
835	428	25
324	299	46
936	72	33
542	925	16
663	35	31
102	322	17
979	13	15
741	124	44
825	396	4
311	935	6
954	268	37
802	525	26
889	468	31
830	955	47
969	363	41
13	583	6
538	216	19
433	428	45
324	678	3
229	315	35
639	165	40
547	177	25
886	104	20
22	82	43
776	144	48
6	559	30
940	850	49
287	429	25
564	620	32
180	64	6
707	401	27
360	275	39
445	327	43
909	652	27
100	566	3
980	726	8
318	704	50
68	35	43
511	184	40
678	525	36
493	525	31
666	563	50
667	521	5
776	393	30
808	871	8
309	945	23
944	893	43
352	834	14
534	69	5
899	554	15
525	831	27
69	784	19
780	969	4
366	463	18
232	499	25
30	41	33
366	562	3
236	676	34
984	321	43
156	745	33
293	635	29
806	82	45
629	649	27
426	248	9
624	94	32
89	544	9
394	646	25
69	494	22
199	446	20
349	875	30
483	999	8
762	930	5
100	676	28
396	187	17
806	142	8
11	191	9
213	280	21
499	957	43
415	679	48
468	859	22
310	266	2
301	407	3
288	758	11
875	163	25
761	348	27
219	856	42
334	761	8
938	165	35
412	99	39
98	887	1
206	348	45
506	740	5
34	292	18
242	380	46
983	55	1
118	590	33
300	414	35
668	184	4
922	135	13
117	588	30
796	510	11
832	992	5
179	930	43
913	966	19
372	17	50
797	286	26
382	601	27
441	742	31
787	184	16
765	669	30
998	864	5
798	710	40
48	330	46
924	891	7
886	41	26
186	359	42
459	345	43
444	101	43
706	273	10
728	854	46
590	176	6
85	99	9
415	941	7
661	794	3
617	959	14
764	690	50
244	309	40
896	322	17
235	432	25
255	931	30
476	435	3
924	397	35
288	483	27
792	238	8
25	342	10
356	815	45
506	57	32
914	207	8
48	248	50
36	954	34
486	910	1
912	522	1
866	435	3
361	222	35
909	540	20
375	783	45
821	896	33
143	811	38
498	179	2
493	834	5
245	889	26
321	692	17
505	43	2
712	850	4
520	271	5
670	518	31
467	57	28
671	14	43
951	83	17
129	616	48
967	696	12
164	901	46
225	326	22
408	257	20
251	976	20
55	560	36
682	378	37
623	568	42
806	41	49
315	983	24
974	304	46
421	817	34
41	363	37
869	226	49
883	12	30
982	172	17
900	29	24
95	60	49
544	236	29
759	728	45
437	623	45
634	403	25
852	838	4
309	195	45
305	1	35
97	136	29
531	685	31
306	59	35
667	529	31
644	156	22
493	205	17
738	717	36
162	125	32
729	491	39
473	268	10
696	165	48
861	784	5
620	460	29
431	737	31
606	902	28
356	102	24
352	293	10
505	467	49
941	144	6
861	712	15
917	298	2
952	415	7
577	811	9
749	632	1
780	851	17
656	781	19
736	673	28
226	122	49
770	724	18
289	404	23
399	526	26
769	791	18
438	627	45
451	713	9
584	705	40
651	476	28
262	368	17
354	450	13
97	189	31
67	282	9
241	830	22
837	662	27
56	652	20
960	14	23
377	172	39
175	13	8
145	997	13
271	209	20
659	799	45
853	66	6
28	549	13
487	769	39
953	397	14
678	970	20
250	253	10
512	497	16
35	263	26
535	135	12
570	79	22
735	345	13
412	720	5
361	351	43
845	81	33
102	379	5
710	598	34
691	66	6
976	255	21
2	790	42
473	738	42
903	795	39
933	738	16
108	707	12
430	423	35
373	621	40
110	275	30
872	554	11
519	341	28
939	68	16
789	488	24
628	372	36
783	898	18
574	108	45
984	798	37
987	51	9
583	548	13
184	936	5
288	455	13
472	275	1
185	654	19
700	734	9
760	295	18
275	427	50
173	842	1
573	655	44
382	715	48
74	812	6
222	285	6
641	735	30
336	521	20
75	894	43
90	939	19
345	347	48
114	946	21
601	501	43
15	160	39
736	153	46
754	697	10
238	774	22
36	272	28
276	774	43
151	937	40
321	222	48
456	183	42
358	202	6
233	801	1
173	261	14
691	849	42
315	140	23
668	675	41
605	57	25
507	815	18
268	339	33
88	577	3
101	692	3
404	13	46
542	251	42
826	253	13
956	968	9
311	259	12
583	48	48
976	644	37
582	984	34
66	919	36
173	489	23
358	515	20
12	457	6
98	844	31
680	967	4
658	739	16
872	423	14
291	82	35
768	806	35
979	149	33
491	197	33
439	917	9
994	404	10
232	766	44
941	177	17
907	694	47
878	93	16
585	928	34
699	265	25
385	696	35
458	202	23
711	946	44
619	316	24
763	294	27
700	133	19
415	80	34
965	931	33
500	358	45
858	25	46
8	944	22
244	68	14
584	63	3
518	812	48
65	50	48
434	622	45
7	242	16
110	274	39
959	499	5
159	894	49
262	835	26
464	343	32
872	25	25
881	200	49
697	435	39
809	313	7
180	12	2
761	575	45
449	35	31
514	359	1
339	406	5
473	790	18
209	387	25
204	176	8
505	319	10
868	819	10
956	26	41
854	176	6
429	541	27
445	754	31
735	419	12
923	159	8
205	996	38
392	81	30
791	158	26
960	599	39
846	118	18
520	200	9
450	965	40
32	808	40
14	334	17
459	403	34
870	140	16
876	907	39
940	69	46
554	98	19
427	638	16
275	564	38
366	61	15
908	87	48
543	884	14
12	623	3
579	469	45
2	985	9
795	897	1
848	917	21
783	933	7
474	562	19
607	660	11
841	93	23
97	478	35
634	165	9
774	702	4
677	781	30
979	820	12
998	720	28
437	189	19
698	428	45
9	47	13
879	713	49
820	177	47
453	597	45
9	517	22
353	210	42
729	766	15
612	213	30
123	41	27
46	321	26
918	821	35
30	969	13
760	232	47
82	314	13
531	332	4
308	971	11
92	373	3
286	869	23
573	750	30
218	565	6
6	557	24
486	660	25
522	513	41
727	480	10
269	469	36
382	788	33
159	419	2
935	537	44
619	342	35
477	245	13
267	699	39
483	392	14
41	137	2
390	599	43
780	975	1
525	884	20
336	287	15
319	21	10
856	376	15
483	958	50
730	38	25
891	505	2
607	790	10
751	694	10
629	876	7
295	480	42
405	541	46
640	62	36
649	877	49
951	227	30
95	34	50
762	975	19
222	160	45
828	33	22
243	662	47
830	155	3
834	487	14
394	501	35
407	719	49
855	353	22
103	479	50
266	606	7
935	42	23
777	626	30
328	287	1
691	630	17
955	669	40
162	888	23
492	14	17
742	814	28
172	578	40
406	3	12
599	837	42
439	844	1
362	946	19
56	369	10
218	906	20
629	83	21
834	458	24
361	461	38
443	377	26
34	584	45
369	656	29
902	469	31
755	760	42
751	717	6
202	117	6
60	923	4
949	143	24
865	276	25
450	274	8
522	939	46
413	888	37
346	871	23
584	758	7
857	235	33
946	747	11
945	124	22
421	219	34
385	156	5
546	224	36
95	270	23
634	754	14
183	614	41
441	624	10
652	463	7
468	642	48
324	271	16
754	360	35
703	258	15
129	523	43
815	487	32
792	561	49
866	493	40
963	249	20
973	993	16
887	184	9
158	711	32
679	559	29
147	293	45
864	874	11
646	118	7
146	74	3
845	250	29
862	614	30
817	634	1
444	385	12
784	253	21
743	514	19
972	269	30
228	544	4
263	513	16
375	174	35
415	178	22
657	851	20
535	43	50
221	737	12
718	841	41
158	612	35
438	796	26
842	214	24
723	18	45
738	775	5
835	871	49
648	872	3
132	416	45
377	237	49
822	650	21
781	988	5
228	931	29
611	835	1
46	269	47
101	248	26
108	768	8
101	105	49
648	572	50
483	265	31
616	809	10
109	717	1
754	522	2
516	16	26
94	319	19
949	915	18
670	856	40
312	537	11
581	412	15
732	423	28
189	29	7
159	32	35
539	244	16
25	945	1
361	671	37
455	296	29
895	634	49
669	878	19
321	902	8
175	215	10
430	789	11
97	519	33
318	985	47
928	49	31
938	964	44
350	934	35
952	90	43
926	131	16
64	911	14
297	303	28
331	35	4
764	806	16
463	666	46
22	224	42
478	129	26
29	160	17
678	193	22
835	815	31
269	32	3
795	301	30
996	719	28
106	610	45
311	10	1
635	489	47
900	181	9
103	816	32
179	298	26
982	928	43
841	360	31
144	670	30
863	238	11
484	42	14
765	696	4
167	437	20
385	622	35
482	415	33
210	902	32
549	339	6
442	647	28
447	789	5
35	936	41
456	977	18
107	164	7
743	455	31
65	728	7
59	996	49
151	593	29
194	953	17
904	48	5
977	319	21
272	741	8
853	875	37
826	823	11
871	717	47
189	909	27
23	917	50
760	428	43
624	25	50
860	18	44
48	743	13
674	262	9
801	106	47
918	450	14
880	607	16
45	104	10
163	155	13
819	803	49
866	211	34
832	759	24
103	1	48
95	756	49
61	692	40
75	949	29
246	6	41
635	662	49
612	171	48
955	304	39
489	323	18
169	198	4
138	810	16
156	93	26
708	361	33
205	222	6
589	439	27
325	154	46
748	703	39
870	480	23
460	345	9
